title,url,filename
Kakuzi Plc Interim Financial Statement June 2026,https://www.kakuzi.co.ke/pages/7b47e83b-23ed-4e94-9a83-847969a45090/articles/7b47e83b-23ed-4e94-9a83-847969a45090.pdf,7b47e83b-23ed-4e94-9a83-847969a45090.pdf
Kakuzi Plc Annual Report and Financial Statements 2025,https://www.kakuzi.co.ke/pages/78b0c81c-9c8e-47cb-9bfb-4bfd56af94e6/articles/78b0c81c-9c8e-47cb-9bfb-4bfd56af94e6.pdf,78b0c81c-9c8e-47cb-9bfb-4bfd56af94e6.pdf
Kakuzi Plc Interim Financial Statement June 2025,https://www.kakuzi.co.ke/pages/28648c10-aaac-4503-adf8-5c7440dc5c79/articles/28648c10-aaac-4503-adf8-5c7440dc5c79.pdf,28648c10-aaac-4503-adf8-5c7440dc5c79.pdf
Kakuzi Plc Annual Report and Financial Statements 2024,https://www.kakuzi.co.ke/pages/0b7a1f81-99a7-4688-9c00-31138a9aa126/articles/0b7a1f81-99a7-4688-9c00-31138a9aa126.pdf,0b7a1f81-99a7-4688-9c00-31138a9aa126.pdf
Kakuzi Plc Interim Financial Statement June 2024,https://www.kakuzi.co.ke/pages/6f0ee12f-7896-4d52-9f04-cec408fb862d/articles/6f0ee12f-7896-4d52-9f04-cec408fb862d.pdf,6f0ee12f-7896-4d52-9f04-cec408fb862d.pdf
Kakuzi Plc Annual Report and Financial Statements 2023,https://www.kakuzi.co.ke/pages/e0bf3806-fb77-4996-9bcc-bb477de6cfa4/articles/e0bf3806-fb77-4996-9bcc-bb477de6cfa4.pdf,e0bf3806-fb77-4996-9bcc-bb477de6cfa4.pdf
Kakuzi Plc Interim Financial Statement June 2023,https://www.kakuzi.co.ke/pages/ced0e9ae-8120-4d09-a3a8-2ef18e81beb0/articles/ced0e9ae-8120-4d09-a3a8-2ef18e81beb0.pdf,ced0e9ae-8120-4d09-a3a8-2ef18e81beb0.pdf
Kakuzi Plc Extract from Interim Financial Statement June 2023,https://www.kakuzi.co.ke/pages/f4ea8b23-4848-42ce-80d3-82573131643b/articles/f4ea8b23-4848-42ce-80d3-82573131643b.pdf,f4ea8b23-4848-42ce-80d3-82573131643b.pdf
Kakuzi Plc Annual Report and Financial Statements 2022,https://www.kakuzi.co.ke/pages/7a64b487-534a-4e77-9344-4e25b7cbe734/articles/7a64b487-534a-4e77-9344-4e25b7cbe734.pdf,7a64b487-534a-4e77-9344-4e25b7cbe734.pdf
Kakuzi Plc Annual Report and Financial Statements 2021,https://www.kakuzi.co.ke/pages/04a143bd-16b1-446e-90f7-cc3bf4576e85/articles/04a143bd-16b1-446e-90f7-cc3bf4576e85.pdf,04a143bd-16b1-446e-90f7-cc3bf4576e85.pdf
